"zip","city","state","local","other"
"19019","Philadelphia",471711976,0.02,0.0
"19092","Philadelphia",471711976,0.02,0.0
"19093","Philadelphia",471711976,0.02,0.0
"19099","Philadelphia",471711976,0.02,0.0
"19101","Philadelphia",471711976,0.02,0.0
"19102","Philadelphia",471711976,0.02,0.0
"19103","Philadelphia",471711976,0.02,0.0
"19104","Philadelphia",471711976,0.02,0.0
"19105","Philadelphia",471711976,0.02,0.0
"19106","Philadelphia",471711976,0.02,0.0
"19107","Philadelphia",471711976,0.02,0.0
"19108","Philadelphia",471711976,0.02,0.0
"19109","Philadelphia",471711976,0.02,0.0
"19110","Philadelphia",471711976,0.02,0.0
"19111","Philadelphia",471711976,0.02,0.0
"19112","Philadelphia",471711976,0.02,0.0
"19113","Philadelphia",471711976,0.02,0.0
"19114","Philadelphia",471711976,0.02,0.0
"19115","Philadelphia",471711976,0.02,0.0
"19116","Philadelphia",471711976,0.02,0.0
"19118","Philadelphia",471711976,0.02,0.0
"19119","Philadelphia",471711976,0.02,0.0
"19120","Philadelphia",471711976,0.02,0.0
"19121","Philadelphia",471711976,0.02,0.0
"19122","Philadelphia",471711976,0.02,0.0
"19123","Philadelphia",471711976,0.02,0.0
"19124","Philadelphia",471711976,0.02,0.0
"19125","Philadelphia",471711976,0.02,0.0
"19126","Philadelphia",471711976,0.02,0.0
"19127","Philadelphia",471711976,0.02,0.0
"19128","Philadelphia",471711976,0.02,0.0
"19129","Philadelphia",471711976,0.02,0.0
"19130","Philadelphia",471711976,0.02,0.0
"19131","Philadelphia",471711976,0.02,0.0
"19132","Philadelphia",471711976,0.02,0.0
"19133","Philadelphia",471711976,0.02,0.0
"19134","Philadelphia",471711976,0.02,0.0
"19135","Philadelphia",471711976,0.02,0.0
"19136","Philadelphia",471711976,0.02,0.0
"19137","Philadelphia",471711976,0.02,0.0
"19138","Philadelphia",471711976,0.02,0.0
"19139","Philadelphia",471711976,0.02,0.0
"19140","Philadelphia",471711976,0.02,0.0
"19141","Philadelphia",471711976,0.02,0.0
"19142","Philadelphia",471711976,0.02,0.0
"19143","Philadelphia",471711976,0.02,0.0
"19144","Philadelphia",471711976,0.02,0.0
"19145","Philadelphia",471711976,0.02,0.0
"19146","Philadelphia",471711976,0.02,0.0
"19147","Philadelphia",471711976,0.02,0.0
"19148","Philadelphia",471711976,0.02,0.0
"19149","Philadelphia",471711976,0.02,0.0
"19150","Philadelphia",471711976,0.02,0.0
"19151","Philadelphia",471711976,0.02,0.0
"19152","Philadelphia",471711976,0.02,0.0
"19153","Philadelphia",471711976,0.02,0.0
"19154","Philadelphia",471711976,0.02,0.0
"19155","Philadelphia",471711976,0.02,0.0
"19160","Philadelphia",471711976,0.02,0.0
"19161","Philadelphia",471711976,0.02,0.0
"19162","Philadelphia",471711976,0.02,0.0
"19170","Philadelphia",471711976,0.02,0.0
"19171","Philadelphia",471711976,0.02,0.0
"19172","Philadelphia",471711976,0.02,0.0
"19173","Philadelphia",471711976,0.02,0.0
"19175","Philadelphia",471711976,0.02,0.0
"19176","Philadelphia",471711976,0.02,0.0
"19177","Philadelphia",471711976,0.02,0.0
"19178","Philadelphia",471711976,0.02,0.0
"19179","Philadelphia",471711976,0.02,0.0
"19181","Philadelphia",471711976,0.02,0.0
"19182","Philadelphia",471711976,0.02,0.0
"19183","Philadelphia",471711976,0.02,0.0
"19184","Philadelphia",471711976,0.02,0.0
"19185","Philadelphia",471711976,0.02,0.0
"19187","Philadelphia",471711976,0.02,0.0
"19188","Philadelphia",471711976,0.02,0.0
"19190","Philadelphia",471711976,0.02,0.0
"19191","Philadelphia",471711976,0.02,0.0
"19192","Philadelphia",471711976,0.02,0.0
"19193","Philadelphia",471711976,0.02,0.0
"19194","Philadelphia",471711976,0.02,0.0
"19195","Philadelphia",471711976,0.02,0.0
"19196","Philadelphia",471711976,0.02,0.0
"19197","Philadelphia",471711976,0.02,0.0
"19244","Philadelphia",471711976,0.02,0.0
"19255","Philadelphia",471711976,0.02,0.0
15006,Bairdford,471711976,0.01,0.0
15007,Bakerstown,471711976,0.01,0.0
15014,Brackenridge,471711976,0.01,0.0
15015,Bradfordwoods,471711976,0.01,0.0
15017,Bridgeville,471711976,0.01,0.0
15018,Buena Vista,471711976,0.01,0.0
15020,Bunola,471711976,0.01,0.0
15024,Cheswick,471711976,0.01,0.0
15025,Floreffe,471711976,0.01,0.0
15025,Jefferson Hills,471711976,0.01,0.0
15025,Large,471711976,0.01,0.0
15025,Clairton,471711976,0.01,0.0
15028,Coulters,471711976,0.01,0.0
15030,Creighton,471711976,0.01,0.0
15031,Cuddy,471711976,0.01,0.0
15032,Curtisville,471711976,0.01,0.0
15034,Dravosburg,471711976,0.01,0.0
15035,East Mc Keesport,471711976,0.01,0.0
15037,Elizabeth,471711976,0.01,0.0
15044,Gibsonia,471711976,0.01,0.0
15045,Glassport,471711976,0.01,0.0
15046,Glenwillard,471711976,0.01,0.0
15046,Crescent,471711976,0.01,0.0
15047,Greenock,471711976,0.01,0.0
15049,Harwick,471711976,0.01,0.0
15051,Indianola,471711976,0.01,0.0
15056,Leetsdale,471711976,0.01,0.0
15064,Morgan,471711976,0.01,0.0
15065,Natrona,471711976,0.01,0.0
15071,Noblestown,471711976,0.01,0.0
15071,Oakdale,471711976,0.01,0.0
15075,Rural Ridge,471711976,0.01,0.0
15076,Russellton,471711976,0.01,0.0
15082,Sturgeon,471711976,0.01,0.0
15084,Tarentum,471711976,0.01,0.0
15086,Warrendale,471711976,0.01,0.0
15088,West Elizabeth,471711976,0.01,0.0
15090,Wexford,471711976,0.01,0.0
15091,Wildwood,471711976,0.01,0.0
15095,Bulk Mail Center,471711976,0.01,0.0
15095,Warrendale,471711976,0.01,0.0
15101,Allison Park,471711976,0.01,0.0
15102,Bethel Park,471711976,0.01,0.0
15104,Braddock,471711976,0.01,0.0
15104,Rankin,471711976,0.01,0.0
15106,Carnegie,471711976,0.01,0.0
15106,Heidelberg,471711976,0.01,0.0
15108,Moon Township,471711976,0.01,0.0
15108,Coraopolis,471711976,0.01,0.0
15110,Duquesne,471711976,0.01,0.0
15112,East Pittsburgh,471711976,0.01,0.0
15116,Glenshaw,471711976,0.01,0.0
15120,Homestead,471711976,0.01,0.0
15120,Munhall,471711976,0.01,0.0
